################################### RECORDED ###################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -i1:20 -s CmdZ --procfilt fIsis -f ./  Subsys: CmdZ
################################################################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -p localhost-20150706-065018.raw.gz -P -f plot 
# Host:       localhost  DaemonOpts: 
# Booted:     1431591593.67 [20150514-09:19:53]
# Distro:     CentOS Linux release 7.1.1503 (Core)     Platform: 
# Date:       20150706-065018  Secs: 1436161818 TZ: +0100
# SubSys:     CmdZ Options:  Interval: 1:20 NumCPUs: 48 [HYPER] NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1200.000 Cores: 12  Siblings: 24 Nodes: 2
# Kernel:     3.10.0-229.el7.x86_64  Memory: 131754524  Swap: 
# NumDisks:   0 DiskNames: 
# NumNets:    3 NetNames: enp1s0f0:1000 enp1s0f1:10000 lo:10000
# SCSI:       DA:0:02:00:00 DA:0:02:01:00
################################################################################
#Date Time [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20150706 08:55:33 131754524 63081836 68672688 20952 0 58135520 1272132 37036 2737072 3137776 0 4194300 116392 4077908 0 0 160 0 0 1097136 0 0 145 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:34 131754524 63081960 68672564 20952 0 58135520 1272132 37036 2737072 3137776 0 4194300 116392 4077908 0 0 160 0 0 1097136 0 0 132 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:35 131754524 63081960 68672564 20952 0 58135564 1272132 37036 2736988 3137776 0 4194300 116392 4077908 0 0 204 0 0 1097168 0 0 91 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:36 131754524 63082084 68672440 20952 0 58135564 1272132 37036 2736988 3137776 0 4194300 116392 4077908 0 0 204 0 0 1097168 0 0 92 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:37 131754524 63082084 68672440 20952 0 58135616 1272132 37036 2737072 3137776 0 4194300 116392 4077908 0 0 256 0 0 1097232 0 0 2316 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:38 131754524 63082084 68672440 20952 0 58135640 1272132 37036 2737072 3137776 0 4194300 116392 4077908 0 0 280 0 0 1097256 0 0 977 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:39 131754524 63081960 68672564 20952 0 58135660 1272132 37036 2736988 3137776 0 4194300 116392 4077908 0 0 300 0 0 1097264 0 0 28 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:40 131754524 63081960 68672564 20952 0 58135660 1272132 37036 2736988 3137776 0 4194300 116392 4077908 0 0 300 0 0 1097264 0 0 55 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:41 131754524 63081960 68672564 20952 0 58135684 1272136 37036 2737076 3137776 0 4194300 116392 4077908 0 0 324 0 0 1097300 0 0 81 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:42 131754524 63082272 68672252 20952 0 58135712 1272136 37036 2721144 3137776 0 4194300 116392 4077908 0 0 352 0 0 1097328 0 0 179 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:43 131754524 63082224 68672300 20952 0 58135712 1272136 37036 2737072 3137776 0 4194300 116392 4077908 0 0 352 0 0 1097328 0 0 928 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
